# ---------------------------------------------------------------------------------------------------------
# Threshold	Precision	Recall   	F1-measure	Classif-ER	Fls-Alarm-Prob	Miss-Prob   
# ---------------------------------------------------------------------------------------------------------
0.000 0.101 0.885 0.182 0.002 0.002 0.115 
0.000 0.102 0.885 0.183 0.002 0.002 0.115 
0.000 0.104 0.885 0.185 0.002 0.002 0.115 
0.000 0.111 0.883 0.198 0.002 0.002 0.117 
0.000 0.112 0.882 0.200 0.002 0.002 0.118 
0.000 0.114 0.882 0.201 0.002 0.002 0.118 
0.000 0.116 0.882 0.204 0.002 0.002 0.118 
0.000 0.116 0.882 0.205 0.002 0.002 0.118 
0.000 0.116 0.881 0.206 0.002 0.002 0.119 
0.000 0.126 0.878 0.220 0.002 0.001 0.122 
0.000 0.126 0.878 0.221 0.002 0.001 0.122 
0.000 0.127 0.878 0.222 0.001 0.001 0.122 
0.000 0.128 0.877 0.223 0.001 0.001 0.123 
0.000 0.129 0.877 0.226 0.001 0.001 0.123 
0.000 0.133 0.876 0.231 0.001 0.001 0.124 
0.000 0.139 0.874 0.239 0.001 0.001 0.126 
0.000 0.139 0.873 0.241 0.001 0.001 0.127 
0.000 0.140 0.873 0.242 0.001 0.001 0.127 
0.000 0.146 0.872 0.250 0.001 0.001 0.128 
0.000 0.150 0.871 0.257 0.001 0.001 0.129 
0.000 0.151 0.870 0.257 0.001 0.001 0.130 
0.000 0.152 0.870 0.259 0.001 0.001 0.130 
0.000 0.157 0.869 0.267 0.001 0.001 0.131 
0.000 0.163 0.867 0.274 0.001 0.001 0.133 
0.000 0.165 0.867 0.277 0.001 0.001 0.133 
0.000 0.175 0.863 0.292 0.001 0.001 0.137 
0.000 0.177 0.863 0.293 0.001 0.001 0.137 
0.000 0.177 0.863 0.294 0.001 0.001 0.137 
0.000 0.178 0.863 0.294 0.001 0.001 0.137 
0.000 0.178 0.863 0.295 0.001 0.001 0.137 
0.000 0.186 0.861 0.305 0.001 0.001 0.139 
0.000 0.192 0.859 0.314 0.001 0.001 0.141 
0.000 0.193 0.859 0.315 0.001 0.001 0.141 
0.000 0.197 0.859 0.320 0.001 0.001 0.141 
0.000 0.197 0.858 0.321 0.001 0.001 0.142 
0.000 0.199 0.858 0.323 0.001 0.001 0.142 
0.000 0.207 0.855 0.334 0.001 0.001 0.145 
0.000 0.217 0.853 0.345 0.001 0.001 0.147 
0.000 0.219 0.853 0.348 0.001 0.001 0.147 
0.000 0.225 0.852 0.355 0.001 0.001 0.148 
0.000 0.226 0.852 0.358 0.001 0.001 0.148 
0.000 0.230 0.851 0.363 0.001 0.001 0.149 
0.000 0.231 0.850 0.363 0.001 0.001 0.150 
0.000 0.237 0.849 0.371 0.001 0.001 0.151 
0.000 0.239 0.849 0.374 0.001 0.001 0.151 
0.000 0.240 0.849 0.374 0.001 0.001 0.151 
0.000 0.241 0.848 0.375 0.001 0.001 0.152 
0.000 0.243 0.847 0.378 0.001 0.001 0.153 
0.000 0.245 0.847 0.380 0.001 0.001 0.153 
0.000 0.248 0.846 0.384 0.001 0.001 0.154 
0.000 0.252 0.846 0.388 0.001 0.001 0.154 
0.000 0.253 0.846 0.390 0.001 0.001 0.154 
0.000 0.253 0.845 0.390 0.001 0.001 0.155 
0.000 0.259 0.844 0.396 0.001 0.001 0.156 
0.000 0.259 0.844 0.397 0.001 0.001 0.156 
0.000 0.266 0.843 0.404 0.001 0.001 0.157 
0.000 0.271 0.842 0.409 0.001 0.001 0.158 
0.000 0.274 0.842 0.414 0.001 0.001 0.158 
0.000 0.276 0.841 0.415 0.001 0.001 0.159 
0.000 0.279 0.841 0.418 0.001 0.001 0.159 
0.000 0.282 0.840 0.422 0.001 0.001 0.160 
0.000 0.285 0.839 0.426 0.001 0.001 0.161 
0.000 0.287 0.839 0.427 0.001 0.001 0.161 
0.000 0.292 0.838 0.433 0.001 0.000 0.162 
0.001 0.297 0.837 0.438 0.001 0.000 0.163 
0.001 0.298 0.837 0.440 0.001 0.000 0.163 
0.001 0.299 0.837 0.440 0.001 0.000 0.163 
0.001 0.308 0.834 0.450 0.000 0.000 0.166 
0.001 0.309 0.834 0.451 0.000 0.000 0.166 
0.001 0.314 0.833 0.457 0.000 0.000 0.167 
0.001 0.315 0.833 0.458 0.000 0.000 0.167 
0.001 0.317 0.833 0.460 0.000 0.000 0.167 
0.001 0.318 0.833 0.461 0.000 0.000 0.167 
0.001 0.324 0.831 0.466 0.000 0.000 0.169 
0.001 0.333 0.829 0.475 0.000 0.000 0.171 
0.001 0.333 0.829 0.476 0.000 0.000 0.171 
0.001 0.336 0.829 0.479 0.000 0.000 0.171 
0.001 0.341 0.828 0.483 0.000 0.000 0.172 
0.001 0.342 0.827 0.484 0.000 0.000 0.173 
0.001 0.350 0.826 0.491 0.000 0.000 0.174 
0.001 0.368 0.823 0.509 0.000 0.000 0.177 
0.001 0.369 0.822 0.510 0.000 0.000 0.178 
0.002 0.381 0.820 0.520 0.000 0.000 0.180 
0.002 0.382 0.819 0.522 0.000 0.000 0.181 
0.002 0.388 0.818 0.527 0.000 0.000 0.182 
0.002 0.389 0.818 0.528 0.000 0.000 0.182 
0.002 0.391 0.818 0.530 0.000 0.000 0.182 
0.002 0.395 0.817 0.533 0.000 0.000 0.183 
0.002 0.402 0.816 0.538 0.000 0.000 0.184 
0.002 0.405 0.815 0.541 0.000 0.000 0.185 
0.002 0.407 0.815 0.542 0.000 0.000 0.185 
0.002 0.409 0.814 0.544 0.000 0.000 0.186 
0.002 0.411 0.814 0.546 0.000 0.000 0.186 
0.002 0.414 0.813 0.549 0.000 0.000 0.187 
0.003 0.425 0.811 0.557 0.000 0.000 0.189 
0.003 0.428 0.810 0.560 0.000 0.000 0.190 
0.003 0.430 0.810 0.562 0.000 0.000 0.190 
0.003 0.431 0.809 0.563 0.000 0.000 0.191 
0.003 0.437 0.809 0.567 0.000 0.000 0.191 
0.003 0.442 0.808 0.571 0.000 0.000 0.192 
0.003 0.448 0.807 0.576 0.000 0.000 0.193 
0.003 0.449 0.806 0.577 0.000 0.000 0.194 
0.004 0.453 0.805 0.580 0.000 0.000 0.195 
0.004 0.465 0.803 0.589 0.000 0.000 0.197 
0.004 0.466 0.802 0.590 0.000 0.000 0.198 
0.005 0.475 0.801 0.596 0.000 0.000 0.199 
0.005 0.482 0.800 0.601 0.000 0.000 0.200 
0.005 0.483 0.800 0.602 0.000 0.000 0.200 
0.006 0.495 0.797 0.610 0.000 0.000 0.203 
0.006 0.495 0.797 0.611 0.000 0.000 0.203 
0.006 0.497 0.797 0.612 0.000 0.000 0.203 
0.006 0.500 0.796 0.614 0.000 0.000 0.204 
0.007 0.513 0.794 0.624 0.000 0.000 0.206 
0.007 0.514 0.794 0.624 0.000 0.000 0.206 
0.007 0.516 0.793 0.626 0.000 0.000 0.207 
0.007 0.517 0.793 0.626 0.000 0.000 0.207 
0.007 0.519 0.793 0.628 0.000 0.000 0.207 
0.008 0.524 0.792 0.631 0.000 0.000 0.208 
0.008 0.525 0.792 0.631 0.000 0.000 0.208 
