# ---------------------------------------------------------------------------------------------------------
# Threshold	Precision	Recall   	F1-measure	Classif-ER	Fls-Alarm-Prob	Miss-Prob   
# ---------------------------------------------------------------------------------------------------------
0.0000000e+00	0.0475196	0.9191919	0.0903674	0.0002881	0.0002868	0.0808081
7.1917300e-06	0.0475941	0.9191919	0.0905022	0.0002876	0.0002864	0.0808081
7.2807700e-06	0.0476190	0.9191919	0.0905473	0.0002875	0.0002862	0.0808081
7.3063300e-06	0.0476440	0.9191919	0.0905923	0.0002873	0.0002861	0.0808081
8.1983900e-06	0.0476689	0.9191919	0.0906375	0.0002872	0.0002859	0.0808081
8.5048600e-06	0.0476939	0.9191919	0.0906826	0.0002870	0.0002857	0.0808081
8.5054000e-06	0.0477189	0.9191919	0.0907278	0.0002868	0.0002856	0.0808081
8.9678300e-06	0.0477440	0.9191919	0.0907731	0.0002867	0.0002854	0.0808081
9.0291900e-06	0.0477690	0.9191919	0.0908184	0.0002865	0.0002853	0.0808081
9.3541900e-06	0.0477941	0.9191919	0.0908637	0.0002864	0.0002851	0.0808081
9.7827900e-06	0.0478192	0.9191919	0.0909091	0.0002862	0.0002850	0.0808081
9.9126300e-06	0.0478444	0.9191919	0.0909545	0.0002861	0.0002848	0.0808081
1.0047200e-05	0.0478695	0.9191919	0.0910000	0.0002859	0.0002846	0.0808081
1.0720000e-05	0.0478947	0.9191919	0.0910455	0.0002857	0.0002845	0.0808081
1.0774800e-05	0.0479200	0.9191919	0.0910911	0.0002856	0.0002843	0.0808081
1.0984800e-05	0.0479452	0.9191919	0.0911367	0.0002854	0.0002842	0.0808081
1.0998200e-05	0.0479705	0.9191919	0.0911824	0.0002853	0.0002840	0.0808081
1.1017400e-05	0.0479958	0.9191919	0.0912281	0.0002851	0.0002839	0.0808081
1.1282800e-05	0.0480211	0.9191919	0.0912738	0.0002850	0.0002837	0.0808081
1.1684500e-05	0.0480465	0.9191919	0.0913196	0.0002848	0.0002835	0.0808081
1.1882200e-05	0.0480718	0.9191919	0.0913655	0.0002846	0.0002834	0.0808081
1.2001300e-05	0.0480973	0.9191919	0.0914114	0.0002845	0.0002832	0.0808081
1.2022700e-05	0.0481227	0.9191919	0.0914573	0.0002843	0.0002831	0.0808081
1.2041400e-05	0.0481481	0.9191919	0.0915033	0.0002842	0.0002829	0.0808081
1.2328200e-05	0.0481736	0.9191919	0.0915493	0.0002840	0.0002828	0.0808081
1.2365600e-05	0.0481992	0.9191919	0.0915954	0.0002839	0.0002826	0.0808081
1.2531500e-05	0.0482247	0.9191919	0.0916415	0.0002837	0.0002824	0.0808081
1.2568700e-05	0.0482503	0.9191919	0.0916877	0.0002835	0.0002823	0.0808081
1.2581800e-05	0.0482759	0.9191919	0.0917339	0.0002834	0.0002821	0.0808081
1.2822200e-05	0.0483015	0.9191919	0.0917801	0.0002832	0.0002820	0.0808081
1.2953100e-05	0.0483271	0.9191919	0.0918264	0.0002831	0.0002818	0.0808081
1.3371800e-05	0.0483528	0.9191919	0.0918728	0.0002829	0.0002817	0.0808081
1.3407200e-05	0.0483785	0.9191919	0.0919192	0.0002828	0.0002815	0.0808081
1.3407600e-05	0.0484043	0.9191919	0.0919656	0.0002826	0.0002813	0.0808081
1.3808500e-05	0.0484300	0.9191919	0.0920121	0.0002824	0.0002812	0.0808081
1.3977900e-05	0.0484558	0.9191919	0.0920587	0.0002823	0.0002810	0.0808081
1.4010200e-05	0.0484816	0.9191919	0.0921053	0.0002821	0.0002809	0.0808081
1.4317500e-05	0.0485075	0.9191919	0.0921519	0.0002820	0.0002807	0.0808081
